source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity
2559341432246792192,21.84084307870369,2.267316760550951,-11.212394038246215,0.6426829,-17.44623,-7.178814791918821,0.63452876,-9.509537476949498,0.313043,12.43614,14.868096,14.704988,13.982839,0.7221489,
2559213304782953856,21.470072208080957,1.7345972675098527,-0.25857440075991445,0.2722902,-0.94962806,7.838359658306043,0.31993753,-6.056195473344772,0.15081103,15.432214,13.563888,13.937163,12.976725,0.9604387,-6.1175895
2563353309658722816,21.334993436912253,4.882802686789479,-1.6831388999862883e-2,2.927423e-2,-0.57495576,2.2504739423732047,3.1693973e-2,-1.6712630556109072,1.5990738e-2,0.9365616,14.559746,15.2694235,13.743004,1.5264196,-1.1131762
2535151351802433792,21.070720564050767,1.2052358435638668,-1.2939195847755263e-3,1.9816224e-2,-6.529597e-2,-1.0649627736421292,2.3218941e-2,-3.3524071968270195,1.8254392e-2,1.2966074,13.432613,14.434231,12.442187,1.9920435,-162.52881
2558408943307595008,21.666968761784617,1.2068526674461828,3.4845540628915726e-2,2.4519883e-2,1.4211136,-1.3608948533510854,2.7836418e-2,-3.6623596146512103,1.3936644e-2,1.0175343,14.606638,15.212045,13.862642,1.3494024,-179.25002
2563251364315038848,21.10329454952518,4.731883064084484,4.862333932680531e-2,1.9054865e-2,2.5517545,1.1566194542574164,2.0893069e-2,-5.812452400444388,1.3857989e-2,0.9570094,13.572666,14.218301,12.801,1.4173012,-317.89166
2559827004069769600,21.838176476671556,2.9762629594594436,8.507333753388752e-2,2.8099703e-2,3.0275528,1.1555787338288153,3.3615697e-2,-1.9251938694133033,1.4423564e-2,1.0007374,14.766564,15.236688,14.129616,1.1070719,1.0345367
2558459589561967232,21.74408659514446,1.5875891514398826,0.10416491878444631,1.6441097e-2,6.335643,1.4308195129140684,1.9448064e-2,-2.422283123199111,8.930252e-3,1.085578,12.382029,13.0088415,11.622028,1.3868132,-226.15596
2558561637984829440,21.955536762335626,1.82357882689711,0.10953234024474989,3.2132957e-2,3.4087229,-0.6872926848186406,3.191862e-2,-2.4446710780911847,1.4962951e-2,1.0020376,14.693868,15.555638,13.788465,1.7671738,-174.8091
2560037491827198080,21.585433546655402,3.2662079231325127,0.12353017395449073,2.620375e-2,4.714217,4.06183137960872,3.1458236e-2,-5.337442585955329,1.4612446e-2,0.9403998,14.582729,15.023066,13.969278,1.0537872,-237.13292
2559406990627953280,21.226645740401604,2.4541104307844033,0.14895065780485572,3.358746e-2,4.43471,-0.2062561185671929,3.7530344e-2,-7.076819770076624,2.8183272e-2,0.9957734,14.686392,14.699878,14.657251,4.262638e-2,
2560024538205880960,21.98828001043087,3.19991101440868,0.15936711415960583,2.1682566e-2,7.350012,8.696019601830393,2.1828126e-2,-7.375261745243073,1.3434067e-2,0.9972337,13.89513,14.351603,13.266628,1.0849743,1.9772246
2559367614367831936,21.99977110712541,2.3860075895993726,0.1595307910956269,3.1457376e-2,5.0713315,17.23513224261286,3.520013e-2,-5.308993542022598,1.6505642e-2,0.95417506,14.91228,15.335119,14.310635,1.0244846,
2559171763859252224,21.090453029247627,1.268591071542675,0.16551290951155534,2.1696663e-2,7.628496,-1.394144565576512,2.6488412e-2,-4.422443852801248,1.9979203e-2,0.93500733,13.88892,14.356835,13.256419,1.1004162,-26.71614
2563539603865382656,21.010960473546287,4.970900138948927,0.16708355432002137,1.6218642e-2,10.301945,-1.7955186798376699,1.6322881e-2,-6.34378781949421,1.3952737e-2,0.95287156,12.232346,12.713494,11.579325,1.1341696,-173.99727
2563329910676899328,21.497250647147688,4.734853017318933,0.18344113965945172,2.0586383e-2,8.9108,10.250294302585315,2.1514418e-2,-9.265042103713364,1.0794752e-2,0.9646928,13.86068,14.410201,13.166972,1.2432289,68.484055
2559384003962996608,21.543201887851215,2.203576196432352,0.1846906857766203,3.2699842e-2,5.6480603,5.761787811774704,4.1460857e-2,-8.587027874275128,1.6659435e-2,1.045032,14.976793,15.39335,14.381421,1.0119286,
2559416989311843328,21.812662758326706,2.421409184812841,0.2065834713919225,1.7915968e-2,11.530689,3.5562702949516294,2.005093e-2,-2.653459839426267,1.0639773e-2,0.96538216,13.71575,14.233185,13.044071,1.1891136,32.556206
2558449109841783040,21.985493382341115,1.6152055779631755,0.2099266193686234,6.106425e-2,3.437799,2.277429579053356,6.8882026e-2,-1.5379975732380766,3.0812332e-2,2.2625005,14.883769,15.301756,14.280686,1.0210695,
2560033403018351232,21.628044866080437,3.207350628256004,0.21538534864700815,1.757959e-2,12.252012,1.6632716223544717,2.4123218e-2,-2.2077062349821275,1.0693751e-2,0.9915481,13.476022,13.898313,12.882836,1.0154762,-21.219967
2558437187012527872,21.663940311189673,1.3244553647909956,0.25053403801228974,1.8305028e-2,13.686625,0.8266510703742386,2.3759052e-2,-5.641094236305237,1.0347696e-2,1.0549053,13.870589,14.377409,13.205561,1.1718483,-88.90959
2559171209807790720,21.172059162981288,1.261434351674843,0.25233704280546865,0.2802725,0.9003275,35.761096819416565,0.3660601,-18.52108711635242,0.19471876,13.970479,13.879614,14.186973,13.359104,0.82786846,-0.8714536
2559637475753063296,21.676886932803903,2.920095293901584,0.2711762232749793,7.2888546e-2,3.720423,-4.193727013399725,7.7592954e-2,-6.698572882973285,4.0965106e-2,3.106751,14.339191,14.607335,13.894681,0.7126541,4.021646
