source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,distance_pc,WDS_match,group_id
1729491864476197248,315.0981829754542,0.7854519214963427,0.8199220388445057,1.831438879106174,-0.9691715619839952,1.2760586,13.695297,13.996397,13.233089,0.7633076,23.333231,1219.6281507559834,False,1
1729495304745669120,315.01856345875586,0.823241087668661,0.8190350447280226,-1.5451154296689875,-5.369036079044037,1.2280343,14.897414,15.217383,14.408234,0.80914974,,1220.948977014861,False,1
2657504009309140736,347.6567505977026,1.3057539278321932,5.0575515855570945,37.114830748271515,-13.256872605295452,1.2445818,12.820483,13.356896,12.117315,1.2395811,17.509472,197.72413253395396,False,2
2657504009309140864,347.65754454285207,1.3055770579070065,5.04625721141954,36.48943362254714,-13.778181767315504,1.2045075,12.654109,13.16419,11.967321,1.1968689,18.08939,198.16667246707672,False,2
2691264616919515264,319.8938028450516,1.2105220957119884,1.109850715583208,9.41317090216562,-3.6311419197918458,1.2007395,14.963036,15.335339,14.406394,0.9289446,,901.0220797799069,False,3
2691268602649181824,319.79641895932855,1.2491417256246355,1.109739251411085,-3.2135936704879215,-1.847025347689121,1.2936496,13.814212,14.119228,13.340747,0.7784815,45.51869,901.1125800303571,False,3
